,title,review
0,squid_game,"Squid Game is average show. Average actors, average characters etc. Only reasons why im not voting for 4 is that there are some well made plots and its an original show. Squid game did great in creating specific games, music and characters relationships. Now the negatives. Squid Game did terribly in doing the layout of story. There are many unrealistic moments just to keep the important characters alive. Story can be chaotic and you can get easily lost. Ending of 1st season is terrible and unrealistic. You will just look at it and wonder how could someone come up with this nonsense. Squid Game is little bit overhyped show. Its not bad and I really enjoyed many parts but that storywriting, oh boy."
1,squid_game,"If you’ve seen Asian game shows or TV challenge competitions; you know how wacky they can be. This Korean series goes a step further. A group of people who have extreme debts are whisked away to an undisclosed location for a series of trials and competitions. If they win, they get big bucks, but losers are killed. I’ll confess that I fast forwarded thru some of the character dialogue scenes. They really weren’t that interesting, plus the perilous situations provide the fun and in later episodes the violence. This international phenomena is certainly unique, but more a curiosity for the weirdness than any kind of important drama. (Nine 45-minute episodes in Korean with subtitles or dubbed in English)"
2,squid_game,"Its not bad, Just over-rated. I think that people everywhere have been saying that this show is one of the best shows ever made and I think I would have to dissagre. Its not bad but its not all that."
3,squid_game,"Squid Game is of the Puzzle-Adventure-Mystery-Survival-Drama genre. This is a plot type that has been used many times and recently in Asian films.

Bottom line: I'll watch season 2 if it is developed.

The acting ranges from good to not-good. The writing is good accept the basic premise of the plot seems somewhat contrived and not believable. The ""games"" may feel silly and not believable. The VIP characters seemed badly developed with poor acting - in my opinion.

Directing, editing and other technicals are of professional quality. Casting seemed mostly appropriate. Squid Game is a film series that you don't appreciate until the last episode. If you only watch the first view episodes you will not be able to appreciate what it has to offer. Take that into consideration as many film reviewers only watch the beginning of films.

Note that the English language audio dubs were not good. I do not speak Korean - but, after the second episode I used the original Korean audio track (with English subtitles) and found the acting much more enjoyable. If you are American and if you are not familiar with Korean, you may find the long-vowel sounds that Koreans use for emphasis to be annoying - but, there is less of that in the later episodes and your ear will attenuate after a few episodes. The social commentary was relevant - in my opinion. Many years ago I listened to a radio talk show involving personal debt crisis. People's lives had been destroyed by credit card debt, student loan debt, spending too much on their car and spending too much on their home, etc. The host of the radio program would help people put together a plan to drastically reduce their spending (often by selling their ""luxury car"" and sometimes by selling their home) and pay off their debts.

There is a lot of over the top, over-speculation in the symbolism within this film. The director has been clear that symbolism (involving the colors of red and blue, for example) were not his intent."
4,squid_game,"One of the biggest sensations on Netflix right now is surprisingly a Korean show. I am all for Korean stuff as there is some amazing stuff from Korea that surpass western movies and shows. The premise is ""Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake"". So is Squid Game worth the hype or another forgettable show in Netflix large backlog?

Firstly, I love the concept of the show and the themes they explore. Battle royales have been done before for example The Hunger Games. However, the way it is utilized here feels way more impactful. The deaths here feels more meaningful and messed up but never gratuitous. One thing that this series does differently is that the games they play are children games. It makes it amusing to watch grown adults play children games. Another different aspect is that the characters are here of their own will. They all have massive money debts so they choose to be in this competition of their own volition. This leads to the big theme explored in Squid Game with its social commentary about inequalities. We see how the people in debt are treated and how desperate they are to get out of it. The chosen games are also great to watch as it gives us some of the most tension-filled scenes in a movie or TV show ever. There is also some great twist in the story that genuinely surprise me with one near the end that completely changes how you view the series.

I also really enjoyed the set design, costumes and music score for the show. The set has this weird trippy look to it that makes it seem like they have been transported to another place. It also feels closed in to make it feel claustrophobic and give the show an unsettling feeling. The contestants wear this green uniform that makes it feel like they are prisoners of the game. The wardens all wear this pink uniform and mask to make them seem inhuman. The music score is pretty well done as well with it illustrating the scene. A music score I particularly like that occurs before games, really captures the childlike essence of the games while feeling very creepy. There is also a cover of ""Fly Me to the Moon"" which is just used wonderfully. It is clear there was a lot of effort and thought put into all of these.

Another reason Squid Game works well is due to the great characters. The main characters have distinct personalities and sympathetic backstories. Yet despite that, the characters being in debt is their fault which makes it clear from the get-go that these characters are flawed. This is evident in our main character, Gi Hun, who is a scummy guy who gambles using his mother's card. Despite that, the show succeeds in making you want to root for these characters or even against them for some. There is some character death in this show that genuinely hurt to watch. This is also thanks to the amazing actors in Squid Game who all gave phenomenal performances in their roles.

Unfortunately, the same can't be said for the English actors they bring in near the end. They are just awful, cringy and unconvincing in their performance. The English dub for the series is also very bad which is baffling since English dubs have been great in many other media such as anime and video games. There is also a definite drop in quality by the last 3 episodes. The story becomes incredibly predictable and by the books. Our main character Gi Hun becomes a generic good guy protagonist which is a little odd despite the things he did. The last two games also don't feel like children games even if it is. There is also a plotline with a police officer that amounts to a predictable reveal that does not affect the main plot whatsoever. The police story is just massive padding and takes screen time away from the interesting things in Squid Game. Overall, Squid Game is a great addition to this Battle Royale genre. It also makes me genuinely happy for a Korean show to be successful even in western countries. Hopefully, more people will give Korean shows and movies a watch as there are so many great gems from them. Squid Game is definitely worth the hype and it has made me curious about whether we will see more in this universe or not."
5,squid_game,"Squid game is a very entertaining show that surprises viewers with fun twists and interesting, intense characters. You can tell the writers spent a lot of time putting the story and world together with lots of little details and storylines. Having said that, it's not a perfect show and does suffer from some cliches and strange character choices."
6,squid_game,"Great sound track in the show. Everything else is pretty mediocre. Average at best writing, tons of huge plot holes, and awful English voice over for English speaking characters (I watched the show in Korean). First three episodes were pretty good but then it's downhill from there and fast. Last episode was quite terrible. All-in-all this is just a Battle Royale rip-off with extra steps."
7,squid_game,"Some episodes are absolute masterpieces, but the last episode is absolute trash and it is even worse when the writer of this show says he does not want a second season but wrote a open ending and did not finish the show with a clear ending which feels it is really over and the story is finished, but that was not the case, very strange."
8,squid_game,"I think there may be a cultural misunderstanding here with the show for us western audience. The reason I say this is because the way some of the characters act is very annoying and pathetic. People don't act in this fashion in our societies. I understand it is a tv show, but it still is over to top emotional acting. Nonetheless, there are plenty of logical fallacies and plot holes, but there are some good portions too. 5/10."
9,squid_game,"No show or movie has made me feel this many emotions in a long time and for that, screw you, Hollywood! This is how you write a show! Flawed characters with relatable goals! We interpret the story and apply any lessons learned to our own lives. No woke or political agendas shoved down our throats."
10,squid_game,"Obra maestra, los mejores personajes en muchos años, tanto en cine como en formato serie"
11,squid_game,It is the best series I have watched after Game of Thrones. It is really entertaining series that you want to watch twice.
12,squid_game,"There was a new Korean series on Netflix and I didn't really care. But it didn't take long before I started hearing about it from all sides, and only in a good way. So I decided to watch this series and I don't regret it at all. The 1st episode introduced us to the main character, who I thought was awesome. Overall, all the contestants here had something going for them and each character was interesting to me in some way. The 2nd episode was the worst for me. But from the 3rd episode onwards, it picked up the pace and I couldn't take my eyes off the screen and it started to get quite suspenseful. As I mentioned, I found every character interesting, so I was always interested to see who would die and how it would all turn out. The games were fun, interesting, and overall the idea of grown people playing children's games seemed original to me. Other than that, as I mentioned I really enjoyed myself and each game had something to it. What also pulled the series for me was the overall interestingness and mystery. There are actually a few unexpected moments. Except for perhaps one thing, I didn't anticipate anything and the series kept surprising me. To sum it all up. I think Ojingeo geim is an amazing series and I recommend it."
